n_parameters,computation_time,objective_value,test_case,elec-resistance,alpha-c,memb-cond-correction,B_ch,ionomer-cond-corr,i0-c,memb-cond-exp,Sh,E-act-ca,memb-equiv-weight,memb-E-act-cond,gdl-thermal-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,tcr,gdl-abs-perm,memb-thickness,gdl-eff-diff-ratio,pt-loading,ic-ratio,gdl-thickness,ionomer-E-act-cond,memb-water-diff,radius-carbon,wet-transition,ecsa,cl-abs-perm,cl-pore-diameter,cl-theta,n_s,E-act-memb-diff,E-act-memb-abs,ionomer-k2,gdl-theta,ionomer-k1,ionomer-k3
10,80.86873602867126,0.00017220280856568166,3,3.468225921742711e-06,0.7968463710450953,5.403114304809737,1.0953505073564886,0.8392298037213222,0.0015494947325360902,1.3575546610195262,1.291124152893781,65323522.771169364,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,107.80983185768127,0.00019688862278980797,4,3.5236918849834455e-06,0.8063568716345959,32.56515395795803,1.5633826292989323,0.7181590340399269,0.0014197469433366464,2.0,9.999999999999998,64590120.51751051,785.2909275500658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,116.66286993026733,0.00022207825657428237,5,3.5406188531544058e-06,0.7957191478177046,36.8392886015378,1.5517230126034391,0.8669111101087342,0.0015704777544116619,2.0,9.999999999999998,63196326.84756933,794.2583142883699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,117.14333891868591,0.00022436728114188893,6,3.4655076699339257e-06,0.7993423234032013,37.52895317688557,1.563657511016545,0.722251691479534,0.0015718545215826416,2.0,9.999999999999998,65565817.31051373,796.3241037433078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,137.3047969341278,0.00022578106098521505,7,3.4798641728036e-06,0.8156966262602487,35.576388168643525,1.5680179825726808,0.7371186307237276,0.001263418144573098,2.0,9.999999999999998,67850885.02624592,797.1072998554903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,114.71629810333252,0.00022501654756694044,8,3.5410053849157524e-06,0.7962577712535985,36.704823776502685,1.5512515860069163,0.9347179153169617,0.0015206036423571943,2.0,9.999999999999998,63746580.27537415,794.1786102579978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,56.83521103858948,0.000287890377297253,9,3.5942527941978357e-06,0.8404611085333975,14.560711997403084,1.7299836413222947,0.3749161573939739,0.001074257462581538,1.2960639336674613,9.999999999999998,63695272.62002377,1068.4867891561116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,98.62780904769897,0.0002187954073973249,1,3.417150522844474e-06,0.7877628519475044,29.91580145489354,1.5757574346787504,0.7991931449014822,0.0018627661038523645,1.982680438156715,9.999999999999998,65263587.076327346,794.3790441185124,15776220.951904025,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,94.77300786972046,0.00019107456399847727,2,3.436455006292619e-06,0.8134187224603934,21.09440517589799,1.5692380004070787,0.8094167546629921,0.0012704069968228727,2.0,9.999999999999998,59884916.7698818,797.293863178181,22954966.078741603,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,127.87474203109741,0.00016498806893523821,3,3.5993159446052006e-06,0.7567918293486524,3.9497509292488653,0.17653738723698775,49.999999999999986,0.0017420076683846287,1.0824120894643008,0.5423070034749061,56913570.96123493,700.0,26958038.259228993,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,120.8819260597229,0.00019866033221699203,4,3.514915958802138e-06,0.7999562187101108,21.891783741502323,1.5621638956448958,0.7640350253751816,0.0015214003254746169,2.0,9.999999999999998,63358604.8990492,785.0857142682697,20869698.88773905,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,144.6145589351654,0.00023068950336001829,5,3.531947688042877e-06,0.8508397528170668,18.484273373043838,1.5860060822152833,0.5220984367200711,0.0008926728889472361,2.0,9.999999999999998,71161369.91247064,789.1133193344291,24065900.049646333,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,100.04859924316406,0.0002235440679652557,6,3.4922977942422877e-06,0.7918096642306103,47.99569662126057,1.5577719258788727,0.764149948324464,0.0017258390819921887,2.0,9.999999999999998,64677001.62017969,795.3046240222089,11309780.285105756,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,109.90286779403687,0.00022688789286195608,7,3.4803366386851875e-06,0.8089650801854198,26.21552128236421,1.5603920661555237,0.7796880636123361,0.0013476937562178375,2.0,9.999999999999998,65641926.113830715,795.7582284626719,19939231.880181022,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,113.10320210456848,0.00022827201054385492,8,3.539465750036006e-06,0.7971214783596403,18.20389647088458,1.553253564716865,0.8625572924726805,0.0015184913274762892,2.0,9.999999999999998,62444849.02359602,794.2711413311795,26039936.05975418,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,77.82415914535522,0.00021405846647097834,9,3.5065564216490142e-06,0.8187405417924505,49.999999999999986,1.7803070199939626,0.6512414533923319,0.0012905928713457,2.0,9.999999999999998,62633813.759826936,835.764118219269,9944585.986605374,,,,,,,,,,,,,,,,,,,,,,,,,,,
