n_parameters,computation_time,objective_value,test_case,elec-resistance,memb-cond-correction,alpha-c,B_ch,ionomer-cond-corr,i0-c,Sh,E-act-ca,memb-cond-exp,memb-equiv-weight,gdl-thermal-cond,memb-E-act-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,gdl-eff-diff-ratio,memb-thickness,tcr,gdl-thickness,gdl-abs-perm,pt-loading,ionomer-E-act-cond,memb-water-diff,ic-ratio,radius-carbon,ecsa
15,28.163538932800293,9.42630671449811e-05,3,3.056837990830957e-06,2.2237246434651095,0.8654236623951839,1.1027514077821592,0.48280209281066866,0.002165698225439536,0.5965423375497372,75072102.56601146,1.0161071878805932,700.0,0.16679039529984713,7397636.143784728,0.9960821348031362,6.3541886126192385e-06,2.0,,,,,,,,,,,,
15,80.45026087760925,0.00010053839039452444,4,3.2248479196189006e-06,9.764905019283916,0.7953590413242135,1.296013986938622,1.6777058549898027,0.0030600767945111796,0.6559337256158814,68748444.04745618,1.7460648083676995,700.0,0.08427744805397236,16310782.360445982,0.8036804240950799,1.3226740719352855e-05,2.0,,,,,,,,,,,,
15,73.19529795646667,0.00011727221085487331,5,3.120002471033113e-06,3.4366534693843875,0.7453930652121804,1.2422130987095765,2.139621067520323,0.003796553233609823,0.6051825786659562,62288565.77426901,1.4089004775133325,700.0,0.07230973157534577,16943453.13572918,0.6109262033768,3.0920891828979082e-06,2.0,,,,,,,,,,,,
15,62.451817989349365,0.00010656785559821738,6,3.299183552773663e-06,11.653910728122826,0.7337267289489336,1.0965860645350392,2.123873025888982,0.004398772219034666,0.5555340317952945,63386572.38516893,1.6787706879007875,700.0,0.0713056456389394,15862644.761439085,0.6381561070381249,1.3922083709730785e-06,2.0,,,,,,,,,,,,
15,44.42632985115051,0.00012165192582460191,7,3.2239958906650107e-06,7.4892573566578795,0.7615512022283613,1.0958887522382574,5.383317319884811,0.0029579721831191957,0.5625002770235707,65475097.638687424,1.206762267756421,830.9649887804384,0.050086257757281066,13205030.461627942,0.6459394463025638,7.173878861149163e-06,2.0,,,,,,,,,,,,
15,59.13256216049194,0.00010644224695552678,8,3.475435933450295e-06,43.824524632564874,0.7522512406392687,0.9359339509171726,5.144861654777511,0.003999752090646627,0.5337522840161073,62340560.841933325,1.891038570117216,700.0,0.07310215969869531,9628379.975655941,0.8215651087556763,1.2040516831262278e-06,2.0,,,,,,,,,,,,
15,48.43935012817383,9.211728267598018e-05,9,3.1077256561859786e-06,4.639398942045866,0.8518390880904789,1.7216787909831297,0.9310084162367546,0.001368606812629636,0.5751888749470621,67175979.00848451,1.408739910346376,758.307648733988,0.07692949972896543,11121227.760850059,0.6329462979091179,2.0299555359105886e-06,2.0,,,,,,,,,,,,
16,99.46182012557983,9.863848841246767e-05,1,3.296448256279698e-06,19.444634954376074,0.8716804042917001,1.311631329842717,0.1456370548131659,0.001573583829276357,0.6486367202059076,72583163.17064969,1.863443632636944,700.0385668355883,0.08465041500551893,12879540.499905864,0.8196649009947898,5.50307359368587e-06,2.0,1.0,,,,,,,,,,,
16,95.63337182998657,7.999836155246302e-05,2,3.144872250097138e-06,7.801162793933584,0.8233724616921115,1.336837995996374,0.2864564196065606,0.0015234456234010931,0.6357659097595907,67631634.72542736,1.5146753998389577,700.0,0.07240422753075301,9412610.388963673,0.574673724557407,7.363645398581691e-06,2.0,1.0001782356589104,,,,,,,,,,,
16,48.31040620803833,8.468198772094803e-05,3,3.1942861746907953e-06,6.20956935157177,0.9091081335042257,1.187980293631847,0.1,0.0013485472476422883,0.6275217222124132,74331633.27571236,1.4217726860987026,700.0,0.14045785677414857,9756004.641230918,0.9654938229774146,4.778354951759795e-06,2.0,1.0,,,,,,,,,,,
16,97.82094120979309,8.491544054118466e-05,4,3.161069095568766e-06,8.20422114979256,0.9107799800631825,1.3405539121882615,0.1325600995511112,0.0013631384083272224,0.6869289467579469,79016044.83737743,1.6153912995162787,700.7559817009621,0.08679260709802389,11865726.652512403,0.9717606471820063,9.16952911269299e-06,2.0,1.0,,,,,,,,,,,
16,96.9866030216217,0.00010309898859089574,5,3.1948930542391904e-06,9.377456337486013,0.8081545507076919,1.4293547011286065,0.18024726972900132,0.0024309888136100737,0.7094243522963146,64161368.95985368,1.7274393222194082,700.1785135692897,0.08699839245063512,14952499.767427186,0.6594437838600514,5.555980967363289e-06,2.0,1.0103539312872387,,,,,,,,,,,
16,95.70711398124695,8.604619613313969e-05,6,3.208971183751753e-06,6.390963802765844,0.8964671341927164,1.2464349226262554,0.12956539450791996,0.0013521945992773312,0.623621393022783,73773778.29648602,1.7004990515320446,711.475574924985,0.0773972073117473,24682846.629030224,0.8889509556604767,6.50514955996196e-06,2.0,1.0,,,,,,,,,,,
16,58.92404818534851,8.932888921254578e-05,7,3.1902932033554385e-06,18.594566740652464,0.8671132594839328,1.3604464934183955,0.1765999940302704,0.0012852213055694385,0.6590906471264907,68185838.25313354,1.755015091085428,700.0,0.08401793108498613,6792601.272965907,0.7062150491172374,7.0114587220053224e-06,2.0,1.0,,,,,,,,,,,
16,65.56841778755188,9.906494463263313e-05,8,3.4755507129952368e-06,49.999999999999986,0.8199806897412677,1.011908250497346,0.2713545430453758,0.002253800897694418,0.541993246492196,69440785.31274784,1.8788666566477885,714.4170250710839,0.07863321949365881,7423625.218740519,0.8401582669699053,2.5585398490081906e-06,2.0,1.0,,,,,,,,,,,
